FT_API_PROFILE: captured ~60s of API server cProfile (cumulative time, top 80)

         4659069 function calls (4570681 primitive calls) in 8.075 seconds

   Ordered by: cumulative time
   List reduced from 856 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    83295    0.048    0.000    0.087    0.000 /usr/lib/python3.10/enum.py:359(__call__)
    32458    0.048    0.000    0.084    0.000 /usr/lib/python3.10/os.py:675(__getitem__)
      194    0.005    0.000    0.084    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/fastapi/routing.py:382(app)
      194    0.003    0.000    0.081    0.000 /home/jlpang/my-vllm-serving-system/vllm/entrypoints/openai/chat_completion/serving.py:218(render_chat_request)
      194    0.003    0.000    0.072    0.000 /home/jlpang/my-vllm-serving-system/vllm/entrypoints/openai/engine/serving.py:1172(_preprocess_chat)
     3102    0.006    0.000    0.070    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/serial_utils.py:297(decode)
   402740    0.067    0.000    0.067    0.000 /home/jlpang/my-vllm-serving-system/vllm/entrypoints/openai/engine/protocol.py:52(<genexpr>)
    28760    0.040    0.000    0.067    0.000 /usr/lib/python3.10/asyncio/locks.py:183(set)
    83422    0.054    0.000    0.064    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/prometheus_client/values.py:18(inc)
     2996    0.007    0.000    0.062    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/zmq/_future.py:698(_add_io_state)
     3102    0.059    0.000    0.061    0.000 {method 'decode' of 'msgspec.msgpack.Decoder' objects}




=== Sorted by total time (top 80) ===

         4659069 function calls (4570681 primitive calls) in 8.075 seconds

   Ordered by: internal time
   List reduced from 856 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      312    2.776    0.009    2.776    0.009 {built-in method posix.unlink}
    57282    0.448    0.000    1.838    0.000 /home/jlpang/my-vllm-serving-system/vllm/entrypoints/openai/chat_completion/serving.py:628(chat_completion_stream_generator)
143292/86020    0.402    0.000    0.619    0.000 /home/jlpang/my-vllm-serving-system/vllm/entrypoints/openai/engine/protocol.py:35(__log_extra_fields__)
    28641    0.195    0.000    0.195    0.000 {method 'to_json' of 'pydantic_core._pydantic_core.SchemaSerializer' objects}
    29423    0.177    0.000    0.177    0.000 {method 'step' of 'tokenizers.decoders.DecodeStream' objects}
    28534    0.160    0.000    2.276    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/responses.py:245(stream_response)
     3102    0.132    0.000    1.246    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/output_processor.py:577(process_outputs)
    28952    0.113    0.000    0.163    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/uvicorn/protocols/http/httptools_impl.py:462(send)
    29035    0.111    0.000    0.351    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/detokenizer.py:94(update)
